name 	zl 	zs 	sigma_0 	dsigma_0 	theta_E 	theta_ap 	sigma_atm 	sigma_ap 	d_sigma_ap
J1420+5630 	0.4830 	3.1200 	230.00 	19.00 	1.4 	1.00 	1.00 	228.00 	19.00
J2203+0205 	0.4000 	2.1500 	219.00 	22.00 	1.95 	1.00 	0.90 	213.00 	21.00
J2221+0115 	0.3250 	2.3500 	227.00 	24.00 	1.4 	1.00 	0.96 	222.00 	23.00
J2222+0012 	0.4360 	1.3600 	223.00 	22.00 	1.44 	1.00 	0.90 	221.00 	22.00
J0143-1006 	0.2210 	1.1046 	202.00 	17.00 	1.230 	1.50 	1.40 	203.00 	17.00
J0159-0006 	0.1584 	0.7477 	222.00 	18.00 	0.920 	1.50 	1.40 	216.00 	18.00
J0753+3416 	0.1371 	0.9628 	212.00 	12.00 	1.230 	1.50 	1.40 	208.00 	12.00
J0757+1956 	0.1206 	0.8326 	204.00 	11.00 	1.620 	1.50 	1.40 	206.00 	11.00
J0920+3028 	0.2881 	0.3918 	293.00 	17.00 	0.700 	1.50 	1.40 	297.00 	17.00
J0955+3014 	0.3214 	0.4671 	271.00 	33.00 	0.540 	1.50 	1.40 	271.00 	33.00
J1010+3124 	0.1668 	0.4245 	220.00 	11.00 	1.140 	1.50 	1.40 	221.00 	11.00
J1041+0112 	0.1006 	0.2172 	201.00 	7.00 	0.600 	1.50 	1.40 	200.00 	7.00
J1051+4439 	0.1634 	0.5380 	221.00 	16.00 	0.990 	1.50 	1.40 	216.00 	16.00
J1101+1523 	0.1780 	0.5169 	283.00 	16.00 	1.180 	1.50 	1.40 	270.00 	15.00
J1127+2312 	0.1303 	0.3610 	231.00 	9.00 	1.250 	1.50 	1.40 	230.00 	9.00
J1137+1818 	0.1241 	0.4627 	227.00 	8.00 	1.290 	1.50 	1.40 	222.00 	8.00
J1144+0436 	0.1036 	0.2551 	215.00 	15.00 	0.760 	1.50 	1.40 	207.00 	14.00
J1213+2930 	0.0906 	0.5954 	237.00 	7.00 	1.350 	1.50 	1.40 	232.00 	7.00
J1330+1750 	0.2074 	0.3717 	251.00 	12.00 	1.010 	1.50 	1.40 	250.00 	12.00
J1433+2835 	0.0912 	0.4115 	229.00 	6.00 	1.530 	1.50 	1.40 	230.00 	6.00
J1543+2202 	0.2681 	0.3966 	288.00 	16.00 	0.780 	1.50 	1.40 	285.00 	16.00
J1550+2020 	0.1351 	0.3501 	249.00 	9.00 	1.010 	1.50 	1.40 	243.00 	9.00
J1633+1441 	0.1281 	0.5804 	233.00 	9.00 	1.390 	1.50 	1.40 	231.00 	9.00
J2324+0105 	0.1899 	0.2775 	255.00 	16.00 	0.590 	1.50 	1.40 	245.00 	15.00
J001615.8+032435 	0.6630 	2.7650 	252.71 	65.99 	5.220 	1.00 	1.80 	249.72 	65.21
J090311.6+003906 	0.2997 	3.0420 	239.51 	16.56 	1.520 	1.00 	1.80 	238.58 	16.49
J110016.3+571736 	0.7810 	1.6510 	255.17 	60.76 	1.140 	1.00 	1.80 	265.99 	63.34
